procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 IST
 0  0 7940172 133020  36636 1034852    0    0     0    15 2091 5694  4  3 93  0  0 2023-12-07 16:44:41
 1  0 7940172 127448  36660 1040024    0    0     0    58 2045 5459  3  4 92  1  0 2023-12-07 16:44:46
 0  0 7940172 127360  36668 1040064    0    0     0    14 2087 5579  3  3 93  0  0 2023-12-07 16:44:51
 0  0 7940172 132200  36676 1034960    0    0     0    91 2154 19288  5  4 90  1  0 2023-12-07 16:44:56
 0  0 7940172 132324  36684 1035272    0    0     0    26 2129 13015  5  4 91  0  0 2023-12-07 16:45:01
 1  0 7940172 131348  36692 1035768    0    0     0    12 2235 18208  4  4 91  0  0 2023-12-07 16:45:06
 0  0 7940172 129556  36700 1035340    0    0    18    35 2272 17995  6  4 89  0  0 2023-12-07 16:45:11
 0  0 7940172 134796  36732 1030220    0    0    30    33 2242 7222  4  3 92  1  0 2023-12-07 16:45:16
 0  0 7940172 129464  36740 1035788    0    0    14    13 2310 6254  4  4 93  0  0 2023-12-07 16:45:21
 2  0 7940172 129216  36748 1035696    0    0     0    94 2112 5614  3  3 94  0  0 2023-12-07 16:45:26
 0  0 7940172 123812  36756 1041160    0    0    13    35 2048 5675  4  3 93  0  0 2023-12-07 16:45:31
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 IST
 0  0 7940172 128340  36764 1035924    0    0    15    18 2068 5506  3  3 93  1  0 2023-12-07 16:45:36
 0  0 7940172 123540  36788 1040052    0    0     0   104 2269 28759  7  5 86  2  0 2023-12-07 16:45:41
 1  0 7940172 132392  36820 1030900    0    0     0    56 2217 14258  6  4 89  1  0 2023-12-07 16:45:46
 0  0 7940172 132328  36828 1030752    0    0     0    15 2180 6093  4  3 93  0  0 2023-12-07 16:45:51
 0  0 7940172 134004  36836 1030864    0    0     0     7 2167 6797  5  3 91  0  0 2023-12-07 16:45:56
 0  0 7940172 127836  36844 1036932    0    0    21   107 2243 6741  5  4 91  0  0 2023-12-07 16:46:01
 0  0 7940172 127176  36852 1037076    0    0     0    13 2162 5997  4  3 93  0  0 2023-12-07 16:46:06
 1  0 7940172 133376  36860 1030976    0    0     0    46 2175 5943  3  3 93  0  0 2023-12-07 16:46:11
 0  0 7940172 128028  36892 1036576    0    0     0    32 2359 6510  6  3 90  1  0 2023-12-07 16:46:16
 0  0 7940172 125540  36956 1037260    0    0     0    81 2361 13012  5  4 90  1  0 2023-12-07 16:46:21
 0  0 7940172 120612  36964 1041800    0    0     4    10 2087 5830  4  4 92  1  0 2023-12-07 16:46:26
 0  0 7943820 131044  36972 1037684    0  770     0   898 2242 9136  6  4 90  0  0 2023-12-07 16:46:31
 0  0 7943820 130912  36980 1038700    0    0     1    13 2167 5981  4  3 92  0  0 2023-12-07 16:46:36
 0  0 7943820 140640  36988 1027508    0    0     0     8 2166 8061  4  3 92  0  0 2023-12-07 16:46:41
 1  0 7943820 130292  37020 1038340    0    0    14    34 2180 5977  4  3 91  1  0 2023-12-07 16:46:46
 0  0 7943820 130356  37028 1038320    0    0     0    57 2155 5832  4  3 93  0  0 2023-12-07 16:46:51
 0  0 7943820 135372  37036 1033244    0    0     0    10 2096 5726  4  4 92  0  0 2023-12-07 16:46:56
 0  0 7943820 135268  37044 1033516    0    0     7    27 2113 5715  3  4 93  0  0 2023-12-07 16:47:01
 0  0 7943820 134224  37052 1034212    0    0     0   134 2076 5560  3  3 93  0  0 2023-12-07 16:47:06
 1  0 7943820 134004  37060 1034216    0    0     0     8 2014 5457  3  3 94  0  0 2023-12-07 16:47:11
 0  0 7943820 134740  37092 1033684    0    0    51    33 2115 5701  3  3 93  1  0 2023-12-07 16:47:16
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 IST
 0  0 7943820 134840  37100 1033820    0    0     0    11 2114 5627  3  3 93  0  0 2023-12-07 16:47:21
 1  0 7943820 129508  37108 1039120    0    0     4     8 2060 5532  3  3 93  0  0 2023-12-07 16:47:26
 0  0 7943820 134700  37116 1034076    0    0    14     8 2010 5467  3  3 94  0  0 2023-12-07 16:47:31
 0  0 7943820 129260  37124 1039296    0    0     0    94 2109 5864  4  3 93  0  0 2023-12-07 16:47:36
 0  0 7943820 129052  37132 1038848    0    0     0    46 2134 5859  4  3 92  1  0 2023-12-07 16:47:41
 0  0 7943820 127876  37164 1039212    0    0    22    34 2177 5917  4  3 92  1  0 2023-12-07 16:47:46
 0  0 7943820 127844  37172 1039340    0    0    20    17 2174 6058  4  3 92  0  0 2023-12-07 16:47:51
 0  0 7943820 130480  37180 1039896    0    0     0     7 2188 5914  4  3 93  0  0 2023-12-07 16:47:56
 0  0 7943820 135268  37188 1034556    0    0    26     6 2112 5709  3  3 93  1  0 2023-12-07 16:48:01
 3  0 7943820 135160  37196 1034928    0    0     0   137 2160 5764  4  3 93  0  0 2023-12-07 16:48:06
 0  0 7943820 133524  37204 1034616    0    0    26    24 2084 5611  3  3 92  1  0 2023-12-07 16:48:11
 0  0 7943820 128656  37228 1039808    0    0     0    63 2226 5804  4  4 92  1  0 2023-12-07 16:48:16
 0  0 7943820 127820  37236 1039760    0    0     0    91 2179 5840  3  4 93  0  0 2023-12-07 16:48:21
 0  0 7943820 128316  37244 1040192    0    0     0     7 2035 5458  4  3 93  0  0 2023-12-07 16:48:26
