procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 IST
 0  0 7999460 184824  60304 901384    0    0     0    18 2143 5602  3  4 93  1  0 2023-12-07 19:38:03
 0  0 7999460 190372  60312 895888    0    0     0    10 2169 5583  4  3 92  0  0 2023-12-07 19:38:08
 1  0 7999460 189256  60320 895892    0    0     0     7 2219 5888  3  4 93  0  0 2023-12-07 19:38:13
 0  0 7999460 188760  60328 895892    0    0     0    82 2166 5661  3  4 92  0  0 2023-12-07 19:38:18
 1  0 7999460 182776  60352 901372    0    0     0    45 2156 5722  4  3 92  1  0 2023-12-07 19:38:23
 0  0 7999460 181256  60356 901452    0    0     0    11 2132 5575  3  4 93  0  0 2023-12-07 19:38:28
 4  0 7999460 180884  60360 901412    0    0     0     6 2119 5577  3  3 93  0  0 2023-12-07 19:38:33
 1  0 7999460 186340  60364 895892    0    0     0    53 2132 5564  3  3 93  0  0 2023-12-07 19:38:38
 1  0 7999460 186556  60372 896020    0    0     0    14 2145 5621  3  4 93  0  0 2023-12-07 19:38:43
 0  0 7999460 185732  60380 896052    0    0     6    38 2122 5554  3  4 93  0  0 2023-12-07 19:38:48
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 IST
 1  0 7999460 180728  60404 901612    0    0     0    36 2212 5741  3  4 92  1  0 2023-12-07 19:38:53
 0  0 7999460 180948  60412 901532    0    0     0    30 2183 5642  4  3 92  1  0 2023-12-07 19:38:58
 0  0 7999460 178432  60416 901620    0    0     0     6 2157 5584  3  4 93  0  0 2023-12-07 19:39:03
 0  0 7999460 185504  60420 896116    0    0    11    11 2181 5623  3  4 92  1  0 2023-12-07 19:39:08
 1  0 7999452 185224  60436 896116    2    0     2    21 2191 5857  3  4 92  1  0 2023-12-07 19:39:13
 0  0 7999452 185440  60440 896120    0    0     1    74 2205 5705  3  3 93  1  0 2023-12-07 19:39:18
 0  0 7999452 175120  60460 906836    0    0     0    31 2173 5657  4  3 93  1  0 2023-12-07 19:39:23
 1  0 7999452 182156  60464 901680    0    0     0    14 2198 5698  3  4 93  0  0 2023-12-07 19:39:28
 0  0 7999452 182384  60472 901624    0    0     0    32 2210 5662  3  4 93  0  0 2023-12-07 19:39:33
 1  0 7999452 187860  60480 896252    0    0    26    51 2156 5543  3  4 93  0  0 2023-12-07 19:39:38
 1  0 7999452 188108  60488 895768    0    0    12    18 2158 5707  4  3 93  0  0 2023-12-07 19:39:43
 0  0 7999452 188232  60496 895896    0    0     0    13 2120 5532  3  4 93  0  0 2023-12-07 19:39:48
 1  0 7999452 182436  60528 901460    0    0     0    35 2158 5603  3  4 92  1  0 2023-12-07 19:39:53
 0  0 7999452 184948  60536 901380    0    0     0    13 2248 5735  3  3 93  0  0 2023-12-07 19:39:58
 0  0 7999452 184112  60544 901968    0    0     0     5 2125 5523  3  3 93  0  0 2023-12-07 19:40:03
 0  0 7999452 189692  60548 896472    0    0     0    30 2162 5593  3  4 93  0  0 2023-12-07 19:40:08
 0  0 7999452 187180  60552 896472    0    0     0    42 2288 5861  4  4 91  0  0 2023-12-07 19:40:13
 0  0 7999452 186404  60560 896556    0    0     4    14 2228 5838  3  4 92  1  0 2023-12-07 19:40:18
 0  0 7999452 180856  60576 902036    0    0     0    35 2200 5703  4  3 91  1  0 2023-12-07 19:40:23
 0  0 7999452 182096  60580 902036    0    0     0    11 2202 5662  4  4 92  0  0 2023-12-07 19:40:28
 0  0 7999452 182376  60588 902052    0    0     0    49 2134 5604  3  4 92  0  0 2023-12-07 19:40:33
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 IST
 0  0 7999452 187740  60596 896492    0    0     0    10 2181 5654  3  4 92  0  0 2023-12-07 19:40:38
 1  0 7999452 187584  60604 896496    0    0     0    27 2172 5603  3  4 93  0  0 2023-12-07 19:40:43
 1  0 7999452 186128  60612 896496    0    0     0    43 2185 5605  4  4 92  0  0 2023-12-07 19:40:48
 0  0 7999452 180300  60640 902072    0    0     0    36 2165 5633  4  3 92  1  0 2023-12-07 19:40:53
 0  0 7999452 180084  60644 902016    0    0     0    12 2156 5554  3  4 92  0  0 2023-12-07 19:40:58
 0  0 7999452 179960  60648 901988    0    0     0     5 2110 5479  3  4 93  0  0 2023-12-07 19:41:03
 1  0 7999452 185044  60656 896476    0    0     0     9 2150 5547  3  4 93  0  0 2023-12-07 19:41:08
 3  0 7999452 184952  60664 896480    0    0     0     7 2202 5706  3  3 93  0  0 2023-12-07 19:41:13
 0  0 7999448 184332  60668 896568    1    0    17    12 2303 6143  4  4 91  1  0 2023-12-07 19:41:18
 1  0 7999448 178936  60732 902160    0    0     2   107 2258 5854  3  3 91  3  0 2023-12-07 19:41:23
 0  0 7999448 179432  60736 902096    0    0     0    11 2165 5651  3  4 93  0  0 2023-12-07 19:41:28
 1  0 7999448 178812  60744 902136    0    0     0     5 2191 5707  3  4 93  0  0 2023-12-07 19:41:33
 0  0 7999448 183896  60752 896616    0    0     0    50 2186 5633  3  3 93  0  0 2023-12-07 19:41:38
 1  0 7999448 184020  60760 896684    0    0    14    41 2158 5584  3  3 93  1  0 2023-12-07 19:41:43
 1  0 7999448 183896  60768 896684    0    0     0     9 2186 5641  3  4 93  0  0 2023-12-07 19:41:48
 2  0 7999448 178464  60792 902244    0    0     0    65 2182 5655  3  4 92  1  0 2023-12-07 19:41:53
 0  0 7999448 178660  60796 902164    0    0     0    13 2202 5713  3  4 93  0  0 2023-12-07 19:41:58
 0  0 7999448 178164  60800 902236    0    0     0     5 2151 5567  3  4 93  0  0 2023-12-07 19:42:03
 0  0 7999448 183340  60808 896692    0    0     0     9 2156 5559  3  4 93  0  0 2023-12-07 19:42:08
 0  0 7999448 184208  60816 896732    0    0     8     7 2188 5723  4  3 92  0  0 2023-12-07 19:42:13
 0  0 7999448 184704  60832 896732    0    0     0   115 2296 5906  4  3 90  3  0 2023-12-07 19:42:18
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 IST
 1  0 7999448 179312  60856 902212    0    0     0    33 2259 5879  4  4 92  1  0 2023-12-07 19:42:23
 0  0 7999448 178908  60864 902292    0    0     0    25 2177 5637  4  3 93  0  0 2023-12-07 19:42:28
 0  0 7999448 179076  60872 902292    0    0     0     6 2138 5548  3  3 93  0  0 2023-12-07 19:42:33
 0  0 7999448 184084  60876 896732    0    0     0     9 2194 5672  3  4 92  0  0 2023-12-07 19:42:38
 0  0 7999448 184364  60880 896736    0    0     0    11 2153 5602  4  4 92  0  0 2023-12-07 19:42:43
 0  0 7999448 184560  60888 896744    0    0     0    42 2212 5720  3  4 92  0  0 2023-12-07 19:42:48
 0  0 7999448 179056  60920 902428    0    0    26    36 2197 5697  3  4 92  1  0 2023-12-07 19:42:53
 0  0 7999448 181348  60928 902428    0    0     0    20 2162 5634  3  3 93  1  0 2023-12-07 19:42:58
 1  0 7999448 181016  61068 902312    0    0    43    15 2199 5701  3  4 92  1  0 2023-12-07 19:43:03
 1  0 7999448 186564  61072 896900    0    0     0    15 2200 5649  3  3 93  0  0 2023-12-07 19:43:08
 0  0 7999448 186440  61072 897032    0    0     0     8 2201 5757  3  4 93  0  0 2023-12-07 19:43:13
 0  0 7999448 184828  61076 897048    0    0    11     7 2284 5716  4  4 92  1  0 2023-12-07 19:43:18
 0  0 7999448 179372  61100 902648    0    0     0    78 2177 5635  3  3 93  1  0 2023-12-07 19:43:23
 1  0 7999448 180396  61108 902568    0    0     0    29 2140 5514  3  4 93  0  0 2023-12-07 19:43:28
 0  0 7999448 181636  61112 902568    0    0     0     5 2151 5566  4  3 93  0  0 2023-12-07 19:43:33
 0  0 7999448 187000  61116 897088    0    0     0    50 2192 5649  3  4 93  0  0 2023-12-07 19:43:38
 0  0 7999448 187340  61124 897088    0    0     0    10 2150 5600  3  4 93  0  0 2023-12-07 19:43:43
 0  0 7999448 185720  61132 897088    0    0     0    10 2183 5664  3  4 93  0  0 2023-12-07 19:43:48
 0  0 7999448 174404  61164 908536    0    0     0    50 2243 5841  3  4 92  1  0 2023-12-07 19:43:53
 1  0 7999448 180292  61172 902904    0    0     0    13 2153 5583  3  4 93  0  0 2023-12-07 19:43:58
 0  0 7999448 180584  61180 902632    0    0     0    24 2136 5522  4  4 92  0  0 2023-12-07 19:44:03
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 IST
 0  0 7999448 186588  61188 897096    0    0     0    10 2159 5582  3  3 93  0  0 2023-12-07 19:44:08
 0  0 7999448 185780  61196 897096    0    0     0    50 2203 5833  4  4 92  0  0 2023-12-07 19:44:13
 0  0 7999448 185812  61204 897096    0    0     0    18 2185 5670  3  4 93  0  0 2023-12-07 19:44:18
 0  0 7999448 178680  61228 902616    0    0     0    33 2210 5697  4  4 92  1  0 2023-12-07 19:44:23
 0  0 7999448 178400  61236 902656    0    0     0    10 2133 5512  3  4 92  0  0 2023-12-07 19:44:28
 0  0 7999448 178196  61244 902720    0    0     0    51 2149 5549  3  3 93  0  0 2023-12-07 19:44:33
 0  0 7999448 178988  61252 901828    0    0     0    37 2213 5808  4  4 92  0  0 2023-12-07 19:44:38
 0  0 7999448 179052  61256 901828    0    0     0    56 2154 5621  4  4 92  0  0 2023-12-07 19:44:43
 1  0 7999448 183288  61264 896636    0    0     4     8 2149 5588  3  3 93  0  0 2023-12-07 19:44:48
 0  0 7999448 177672  61300 902192    0    0     0    50 2201 5835  4  3 92  1  0 2023-12-07 19:44:53
 0  0 7999448 177928  61304 902096    0    0     0    12 2151 5598  3  4 93  0  0 2023-12-07 19:44:58
 1  0 7999448 173536  61312 907912    0    0     0     5 2171 5594  3  3 93  0  0 2023-12-07 19:45:03
 0  0 7999448 183696  61320 897184    0    0     0     9 2211 5692  3  3 93  0  0 2023-12-07 19:45:08
 0  0 7999448 184532  61328 897184    0    0     0    20 2402 5959  4  4 92  0  0 2023-12-07 19:45:13
 0  0 7999448 184596  61332 897228    0    0     9    60 2269 5886  3  3 93  1  0 2023-12-07 19:45:18
 0  0 7999448 179540  61356 902708    0    0     0    31 2186 5666  3  4 93  1  0 2023-12-07 19:45:23
 2  0 7999448 179448  61364 902708    0    0     0    13 2195 5702  3  3 93  0  0 2023-12-07 19:45:28
 0  0 7999448 179820  61372 902708    0    0     0     5 2167 5616  3  4 93  0  0 2023-12-07 19:45:33
 0  0 7999448 185340  61376 897292    0    0     0    50 2142 5535  3  3 93  0  0 2023-12-07 19:45:38
 0  0 7999448 185372  61380 897232    0    0     0     8 2162 5620  3  4 93  0  0 2023-12-07 19:45:43
 0  0 7999448 185340  61388 897280    0    0     0    43 2161 5621  3  3 93  0  0 2023-12-07 19:45:48
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 IST
 0  0 7999448 180196  61412 902792    0    0     0    46 2185 5675  4  3 92  1  0 2023-12-07 19:45:53
 0  0 7999448 180660  61420 902716    0    0     0    14 2146 5599  3  4 93  0  0 2023-12-07 19:45:58
 1  0 7999448 180784  61428 902780    0    0     0    11 2149 5586  3  4 93  0  0 2023-12-07 19:46:03
 0  0 7999448 185900  61432 897220    0    0     0     6 2174 5614  4  4 92  0  0 2023-12-07 19:46:08
 0  0 7999448 185156  61436 897220    0    0     0     8 2223 5796  4  3 92  0  0 2023-12-07 19:46:13
 4  0 7999444 185560  61444 897316    1    0     8    47 2349 6188  5  3 91  1  0 2023-12-07 19:46:18
 1  0 7999440 179888  61500 902868    1    0     1    85 2319 6027  4  3 90  2  0 2023-12-07 19:46:23
 0  0 7999440 179888  61504 902828    0    0     0    31 2237 5766  4  4 93  0  0 2023-12-07 19:46:28
 0  0 7999440 180136  61508 902908    0    0     0     5 2171 5634  3  4 93  0  0 2023-12-07 19:46:33
 0  0 7999440 184104  61512 897348    0    0     0    54 2254 5737  4  3 92  0  0 2023-12-07 19:46:38
 0  0 7999440 183700  61516 897412    0    0     0     8 2176 5641  3  4 93  0  0 2023-12-07 19:46:43
 0  0 7999440 183792  61524 897348    0    0     0    44 2198 5708  4  4 92  0  0 2023-12-07 19:46:48
 0  0 7999440 177996  61548 902908    0    0     0    38 2211 5744  3  4 93  1  0 2023-12-07 19:46:53
 0  0 7999440 177336  61556 902924    0    0     0    14 2182 5695  4  4 92  0  0 2023-12-07 19:46:58
 0  0 7999440 177512  61564 903004    0    0    14    29 2159 5567  3  3 93  1  0 2023-12-07 19:47:03
 0  0 7999440 182956  61568 897420    0    0     0     5 2170 5608  3  4 93  0  0 2023-12-07 19:47:08
 1  0 7999440 182924  61572 897420    0    0     0    13 2182 5713  3  4 93  0  0 2023-12-07 19:47:13
 0  0 7999440 182276  61580 897512    0    0     6     7 2225 5806  3  4 93  0  0 2023-12-07 19:47:18
 0  0 7999440 176760  61612 902976    0    0     0    31 2230 5737  3  3 92  1  0 2023-12-07 19:47:23
 0  0 7999440 176668  61620 903144    0    0     0    14 2205 5689  3  4 93  0  0 2023-12-07 19:47:28
 0  0 7999440 176264  61628 903184    0    0     0    50 2175 5622  3  4 93  0  0 2023-12-07 19:47:33
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 IST
 1  0 7999440 181876  61636 897604    0    0     0    63 2192 5648  3  3 93  1  0 2023-12-07 19:47:38
 0  0 7999440 181660  61640 897672    0    0     5    37 2158 5593  3  4 93  0  0 2023-12-07 19:47:43
 0  0 7999436 181164  61648 897676    1    0     1    11 2201 5688  3  4 92  1  0 2023-12-07 19:47:48
 2  0 7999436 175244  61680 902796    0    0     0    38 2204 5716  3  4 92  1  0 2023-12-07 19:47:53
 0  0 7999436 174932  61684 903196    0    0     0    14 2158 5655  4  3 92  0  0 2023-12-07 19:47:58
 0  0 7999436 175040  61692 903176    0    0     0     8 2159 5579  3  4 92  0  0 2023-12-07 19:48:03
 0  0 7999436 180108  61700 897696    0    0     0    50 2185 5604  3  4 93  0  0 2023-12-07 19:48:08
 1  0 7999436 181564  61708 897696    0    0     0    26 2190 5757  3  4 93  0  0 2023-12-07 19:48:13
 0  0 7999436 180884  61716 897744    0    0     9    38 2208 5732  3  4 93  1  0 2023-12-07 19:48:18
 0  0 7999436 175984  61740 902912    0    0     0    35 2214 5779  4  3 92  1  0 2023-12-07 19:48:23
 0  0 7999436 175736  61744 903260    0    0     0    13 2157 5585  3  4 93  0  0 2023-12-07 19:48:28
 0  0 7999436 175612  61752 903264    0    0     0     5 2151 5614  3  4 93  0  0 2023-12-07 19:48:33
 0  0 7999436 180540  61760 897744    0    0     0    10 2197 5676  4  3 93  0  0 2023-12-07 19:48:38
 0  0 7999436 180696  61764 897744    0    0     0    14 2157 5710  4  4 92  0  0 2023-12-07 19:48:43
 0  0 7999436 180540  61772 897744    0    0     0    16 2146 5577  4  4 92  0  0 2023-12-07 19:48:48
 0  1 7999436 174184  61788 902992    0    0     0    69 2199 5758  3  3 87  6  0 2023-12-07 19:48:53
 1  0 7999436 173968  61804 903392    0    0     0    20 2162 5629  3  4 92  1  0 2023-12-07 19:48:58
 0  0 7999436 173968  61812 903420    0    0     0    15 2156 5601  3  3 93  0  0 2023-12-07 19:49:03
 0  0 7999436 178804  61816 897884    0    0     0    10 2189 5626  3  4 93  0  0 2023-12-07 19:49:08
 0  0 7999436 178400  61824 898104    0    0     6     6 2178 5684  3  4 93  0  0 2023-12-07 19:49:13
 0  0 7999436 173104  61840 903596    0    0    43    27 2241 5938  4  3 92  1  0 2023-12-07 19:49:18
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 IST
 1  0 7999436 175148  61844 903496    0    0     0    13 2196 5666  3  4 93  0  0 2023-12-07 19:49:23
 0  0 7999436 174152  61860 903880    0    0     0   102 2145 5514  3  4 93  1  0 2023-12-07 19:49:28
 0  0 7999436 177608  61868 903652    0    0     0    12 2163 5613  3  4 93  0  0 2023-12-07 19:49:33
 0  0 7999436 183172  61872 898320    0    0     0    50 2169 5577  3  4 93  0  0 2023-12-07 19:49:38
 0  0 7999436 183264  61876 898324    0    0     0    10 2178 5639  3  4 93  0  0 2023-12-07 19:49:43
 0  0 7999436 180692  61884 898328    0    0     0     9 2401 6390  4  4 92  0  0 2023-12-07 19:49:48
 0  0 7999436 175172  61892 903448    0    0     0     9 2323 6035  4  4 92  0  0 2023-12-07 19:49:53
 1  0 7999436 175328  61920 903808    0    0     0    31 2241 5844  3  4 92  1  0 2023-12-07 19:49:58
 0  0 7999436 173468  61928 904080    0    0     0    30 2387 6430  3  4 92  0  0 2023-12-07 19:50:03
 0  0 7999436 178676  61936 898456    0    0     0     8 2251 5862  3  4 93  0  0 2023-12-07 19:50:08
 1  0 7999436 177496  61940 898460    0    0     0    40 2313 5927  4  4 92  0  0 2023-12-07 19:50:13
 0  0 7999436 178024  61944 898464    0    0     0    16 2265 5882  4  5 92  0  0 2023-12-07 19:50:18
 1  0 7999436 172536  61948 903584    0    0     0    10 2247 5749  4  3 92  1  0 2023-12-07 19:50:23
 0  0 7999436 172288  61968 903944    0    0     0    31 2184 5642  4  4 92  1  0 2023-12-07 19:50:28
 0  0 7999436 172828  61972 903984    0    0     0    11 2211 5722  3  4 93  0  0 2023-12-07 19:50:33
 0  0 7999436 177652  61976 898464    0    0     0    69 2238 5696  3  4 92  0  0 2023-12-07 19:50:38
 0  0 7999436 177124  61984 898464    0    0     0    10 2172 5588  3  4 93  0  0 2023-12-07 19:50:43
 0  0 7999436 177372  61992 898464    0    0     0    49 2161 5589  3  4 93  0  0 2023-12-07 19:50:48
 0  0 7999436 171792  62000 903584    0    0     0     7 2181 5624  3  4 93  0  0 2023-12-07 19:50:53
 3  0 7999436 171480  62032 904048    0    0     0    31 2191 5644  3  4 92  1  0 2023-12-07 19:50:58
 1  0 7999436 180192  62036 898536    0    0     0    13 2215 5714  4  3 93  0  0 2023-12-07 19:51:03
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 IST
 0  0 7999436 180688  62040 898472    0    0     0     9 2175 5587  3  4 93  0  0 2023-12-07 19:51:08
 0  0 7999436 180348  62044 898472    0    0     0    23 2246 5784  3  4 93  0  0 2023-12-07 19:51:13
 0  0 7999432 177836  62052 898572    1    0    20    94 2378 6189  4  3 91  1  0 2023-12-07 19:51:18
 0  0 7999416 171980  62112 903824    4    0     4    67 2310 5858  3  3 92  2  0 2023-12-07 19:51:23
 0  0 7999416 171728  62140 904088    0    0     0    32 2131 5543  4  4 92  1  0 2023-12-07 19:51:28
 0  0 7999416 176968  62144 898608    0    0     0    11 2184 5626  3  4 93  0  0 2023-12-07 19:51:33
 0  0 7999416 179200  62148 898776    0    0    34     6 2184 5646  3  4 93  1  0 2023-12-07 19:51:38
 0  0 7999416 179108  62152 898776    0    0     0     7 2166 5611  3  4 93  0  0 2023-12-07 19:51:43
 0  0 7999416 178952  62156 898796    0    0     3     8 2160 5648  3  3 93  0  0 2023-12-07 19:51:48
 0  0 7999416 172008  62160 903916    0    0     0    39 2221 5724  3  4 93  0  0 2023-12-07 19:51:53
 0  0 7999416 173156  62180 904276    0    0     0    35 2220 5755  4  4 92  1  0 2023-12-07 19:51:58
 0  0 7999416 176828  62188 898868    0    0     0    13 2154 5591  3  4 92  0  0 2023-12-07 19:52:03
 0  0 7999416 177044  62196 898804    0    0     0     9 2168 5614  4  3 92  0  0 2023-12-07 19:52:08
 0  0 7999416 175028  62200 898832    0    0     6    44 2258 5860  4  4 91  1  0 2023-12-07 19:52:13
 0  0 7999416 175120  62204 898972    0    0    28    10 2211 5784  4  3 92  1  0 2023-12-07 19:52:18
 0  0 7999416 170120  62212 904112    0    0     0    14 2176 5703  4  4 92  0  0 2023-12-07 19:52:23
 1  0 7999416 170764  62236 904504    0    0    10    39 2167 5619  3  4 92  1  0 2023-12-07 19:52:28
 0  0 7999416 175148  62244 899208    0    0    37    29 2188 5656  3  4 92  1  0 2023-12-07 19:52:33
 0  0 7999416 174836  62260 899212    0    0     0   120 2224 5600  3  3 91  2  0 2023-12-07 19:52:38
 0  0 7999416 174556  62268 899212    0    0     0    55 2145 5516  3  4 93  0  0 2023-12-07 19:52:43
 0  0 7999416 174712  62272 899212    0    0     0    15 2122 5523  3  4 93  0  0 2023-12-07 19:52:48
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 IST
 0  0 7999416 169256  62372 904332    0    0    18    11 2160 5608  4  4 92  1  0 2023-12-07 19:52:53
 0  0 7999416 170512  62392 904692    0    0     0    35 2136 5584  3  4 92  1  0 2023-12-07 19:52:58
 0  0 7999416 173532  62404 899284    0    0     0    32 2398 6374  3  4 92  1  0 2023-12-07 19:53:03
 0  0 7999416 175132  62408 899220    0    0     0   134 2340 6059  4  4 93  0  0 2023-12-07 19:53:08
 0  0 7999416 174504  62544 899220    0    0    26     8 2426 6509  4  4 92  1  0 2023-12-07 19:53:13
 0  0 7999416 175284  62552 899352    0    0     0    74 2308 5941  4  4 92  0  0 2023-12-07 19:53:18
 0  0 7999416 172900  62560 904340    0    0     0     6 2177 5639  3  4 93  0  0 2023-12-07 19:53:23
 0  0 7999416 173240  62584 904700    0    0     0    27 2131 5523  3  4 92  1  0 2023-12-07 19:53:28
 0  0 7999416 178016  62592 899220    0    0     0    11 2125 5559  3  3 93  0  0 2023-12-07 19:53:33
 0  0 7999416 178108  62600 899220    0    0     0     5 2161 5610  3  3 93  0  0 2023-12-07 19:53:38
 0  0 7999416 177736  62608 899220    0    0     0     7 2199 5550  3  4 93  0  0 2023-12-07 19:53:43
 1  0 7999416 177768  62616 899220    0    0     0    32 2213 5729  3  4 93  0  0 2023-12-07 19:53:48
 0  0 7999416 172520  62624 904500    0    0    32    23 2216 5751  4  4 92  0  0 2023-12-07 19:53:53
 0  0 7999416 172404  62648 904900    0    0     0    31 2124 5518  3  4 92  1  0 2023-12-07 19:53:58
 0  0 7999416 177240  62656 899576    0    0     0    12 2166 5625  3  4 93  0  0 2023-12-07 19:54:03
 0  0 7999416 177896  62664 899512    0    0     0     9 2183 5618  3  4 92  0  0 2023-12-07 19:54:08
 0  0 7999416 177740  62672 899512    0    0     0     9 2192 5692  4  3 92  0  0 2023-12-07 19:54:13
 1  0 7999416 177772  62680 899512    0    0     0    10 2173 5695  4  4 92  0  0 2023-12-07 19:54:18
 0  0 7999416 173124  62688 904632    0    0     0    41 2217 5731  3  3 93  0  0 2023-12-07 19:54:23
 0  0 7999416 172348  62720 904992    0    0     0    43 2120 5506  4  4 92  1  0 2023-12-07 19:54:28
 0  0 7999416 177804  62724 899512    0    0     0    54 2401 6306  4  3 93  0  0 2023-12-07 19:54:33
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 IST
 1  0 7999416 177648  62732 899512    0    0     0     6 2374 6199  3  4 92  0  0 2023-12-07 19:54:38
 0  0 7999416 177028  62740 899512    0    0     0     7 2185 5719  3  3 94  0  0 2023-12-07 19:54:43
 1  0 7999484 200816  59572 885772    2   16     2  2804 2238 5799 10  3 84  3  0 2023-12-07 19:54:48
 0  0 7999484 194440  59580 891384    0    0     0    16 2204 5919  3  4 92  0  0 2023-12-07 19:54:53
 2  0 7999484 195412  59600 891280    0    0     0    34 2199 5763  3  3 92  1  0 2023-12-07 19:54:58
 0  0 7999484 200168  59608 886452    0    0     0    52 2157 5568  3  4 93  0  0 2023-12-07 19:55:03
 0  0 7999484 195680  59616 891668    0    0     0     9 2194 5662  3  3 93  0  0 2023-12-07 19:55:08
 0  0 7999484 200264  59624 886440    0    0     8    68 2213 5883  4  3 83 11  0 2023-12-07 19:55:13
 0  0 7999484 199660  59632 886464    0    0     0   456 2389 5911  4  4 92  0  0 2023-12-07 19:55:18
 0  0 7999484 195120  59636 891560    0    0     0    21 2178 5632  3  3 93  0  0 2023-12-07 19:55:23
 0  0 7999484 193776  59664 892128    0    0     0    38 2350 6286  4  4 92  1  0 2023-12-07 19:55:28
 0  0 7999484 198712  59668 886632    0    0    38    10 2287 6030  3  4 93  0  0 2023-12-07 19:55:33
 0  0 7999484 198248  59676 886632    0    0     0    62 2191 5643  4  4 92  0  0 2023-12-07 19:55:38
 0  0 7999484 197844  59676 886632    0    0     0    42 2136 5552  3  4 93  0  0 2023-12-07 19:55:43
 1  0 7999484 197524  59680 886764    0    0     0    50 2169 5600  3  4 92  1  0 2023-12-07 19:55:48
 0  0 7999484 192412  59684 891752    0    0     0     6 2181 5622  4  4 92  0  0 2023-12-07 19:55:53
 0  0 7999484 192268  59712 891964    0    0     0    30 2131 5623  3  4 92  1  0 2023-12-07 19:55:58
 0  0 7999484 155484  50696 940900    0    0 15806    28 2503 6423  6  4 78 11  0 2023-12-07 19:56:03
 2  0 7999484 155072  50704 940968    0    0    56    12 2182 5611  3  4 92  1  0 2023-12-07 19:56:08
 0  0 7999484 155412  50712 940968    0    0     0     7 2226 5797  4  4 92  0  0 2023-12-07 19:56:13
 0  3 7999476 153388  50724 941200    2    0     8    86 2433 6305  5  4 91  1  0 2023-12-07 19:56:18
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 IST
 0  0 7999476 148340  50776 946172    0    0     1    92 2266 5858  3  3 92  2  0 2023-12-07 19:56:23
 0  0 7999476 147688  50800 946532    0    0     0    34 2179 5651  3  4 93  1  0 2023-12-07 19:56:28
 0  0 7999476 152648  50804 941052    0    0     0    10 2150 5596  3  3 93  0  0 2023-12-07 19:56:33
 0  0 7999476 152992  50812 941052    0    0     0    50 2179 5664  3  3 93  0  0 2023-12-07 19:56:38
 0  0 7999476 152156  50820 941052    0    0     0     9 2175 5644  3  3 93  0  0 2023-12-07 19:56:43
 0  0 7999476 151752  50828 941052    0    0     0     7 2159 5596  3  4 93  0  0 2023-12-07 19:56:48
 0  0 7999476 146536  50836 946172    0    0     0    16 2197 5727  3  3 93  0  0 2023-12-07 19:56:53
 0  0 7999476 146576  50864 946532    0    0     0    48 2197 5715  3  3 92  1  0 2023-12-07 19:56:58
 1  0 7999476 151288  50872 941124    0    0     0    45 2147 5586  3  4 93  0  0 2023-12-07 19:57:03
 0  0 7999476 151628  50876 941060    0    0     0     9 2137 5596  3  3 94  0  0 2023-12-07 19:57:08
 0  0 7999476 150916  50880 941060    0    0     0     7 2193 5778  4  3 93  0  0 2023-12-07 19:57:13
 1  0 7999476 150824  50888 941140    0    0    16     7 2183 5798  3  4 93  0  0 2023-12-07 19:57:18
 0  0 7999476 146172  50896 946260    0    0     0     6 2175 5669  4  3 93  0  0 2023-12-07 19:57:23
 0  0 7999476 146236  50920 946700    0    0     0    29 2164 5716  3  3 93  1  0 2023-12-07 19:57:28
 0  0 7999476 151568  50928 941140    0    0     0    10 2158 5682  3  4 92  0  0 2023-12-07 19:57:33
 0  0 7999476 151908  50944 941144    0    0     0   102 2164 5618  3  4 91  2  0 2023-12-07 19:57:38
